,Date,Action,Ticker,Quantity,Price,Cash
74,2019-10-31,BUY,NFLX,45,291.45001220703125,243798.0787217617
75,2019-10-31,BUY,NVDA,48268,5.050086498260498,40.503623723983765
76,2019-06-05,SELL,NVDA,924789,3.5539321899414062,3286677.899627447
77,2019-06-28,SELL,NFLX,44,370.0199890136719,3302958.7791440487
78,2019-06-28,BUY,NVDA,813321,4.056701183319092,3558.5160257816315
79,2019-06-28,BUY,TSLA,239,14.855999946594238,7.9320385456085205
80,2019-11-29,SELL,TSLA,4949,22.086000442504883,109311.54822850227
81,2019-11-29,BUY,NFLX,72,315.92999267578125,86564.58875584602
82,2019-11-29,BUY,NVDA,15930,5.43322229385376,13.357614755630493
83,2019-07-21,SELL,NVDA,829251,4.186184406280518,3471410.962707281
84,2019-07-31,SELL,NFLX,73,325.92999267578125,3495203.852172613
85,2019-07-31,BUY,NVDA,781190,4.360401153564453,88902.075019598
86,2019-07-31,BUY,TSLA,5504,16.150667190551758,8.802802801132202
87,2019-08-06,SELL,NVDA,781190,3.747534990310669,2927545.6618835926
88,2019-08-16,SELL,TSLA,5505,14.37600040435791,3006685.544109583
89,2019-08-30,BUY,NVDA,707428,4.154504776000977,67672.53943276405
90,2019-08-30,BUY,TSLA,4578,14.780667304992676,6.644510507583618
91,2019-12-31,SELL,NVDA,11375,5.783753395080566,65796.83937954903
92,2019-12-31,SELL,TSLA,4578,27.64666748046875,192363.28310513496
93,2019-12-31,BUY,CSCO,4330,40.4477424621582,17224.558243989944
94,2019-12-31,BUY,NFLX,53,323.30999755859375,89.12837338447571
95,2019-09-08,SELL,NFLX,53,290.1700134277344,15468.139085054398
96,2019-09-30,SELL,CSCO,4330,41.19810485839844,193855.93312191963
97,2019-09-30,BUY,NVDA,22464,4.272920608520508,97869.04457211494
98,2019-09-30,BUY,TSLA,6062,16.142000198364258,16.2393696308136
99,2019-10-31,SELL,TSLA,2362,21.000667572021484,49619.81617474556
100,2019-10-31,BUY,NFLX,35,291.45001220703125,39419.065747499466
101,2019-10-31,BUY,NVDA,7780,5.050086498260498,129.39279103279114
102,2019-11-29,SELL,TSLA,3699,22.086000442504883,81825.50842785835
103,2019-11-29,BUY,NFLX,30,315.92999267578125,72347.60864758492
104,2019-11-29,BUY,NVDA,13308,5.43322229385376,42.2863609790802
105,2019-12-31,SELL,NFLX,10,323.30999755859375,3275.3863365650177
106,2019-12-31,SELL,NVDA,30250,5.783753395080566,178233.92653775215
107,2019-12-31,SELL,TSLA,1,27.64666748046875,178261.57320523262
108,2019-12-31,BUY,CSCO,4407,40.4477424621582,8.372174501419067
